Company_Brand,Sector,Stage,Funding_Year,Amount($),HeadQuarter,What_it_does,Year_Founded,Founders,Investor
Truemeds,Heathcare,Series A,2021,5000000.0,Mumbai,Truemeds is a health-tech startup.,2019,"Akshat Nayyar, Kunal Wani",InfoEdge
Candes,E-commerce,Unknown,2021,3000000.0,New Delhi,Candes is a home appliances company providing a complete range of home & kitchen electrical appliances at affordable prices.,2015,"Sandeep Aggarwal, Vipin Aggarwal","Nitin Passi, Ruchirans Jaipuria"
MediBuddy,Heathcare,Unknown,2021,3000000.0,Bangalore,"MediBuddy is a digital healthcare platform for inpatient hospitalization, outpatient services, and corporate wellness benefits.",2000,"Satish Kannan, Enbasekar","Stride Ventures, InnoVen Capital"
F5,Food & Beverages,Pre-series A,2021,300000.0,New Delhi,F5 is a foods and beverages company.,2018,"Lalit Aggarwal, Raghav Arora","Venture Catalysts, Jeevak Gupta"
Capital Float,FinTech,Unknown,2021,6000000.0,Bangalore,Capital Float is an online platform that provides working capital finance to SMEs in India.,2013,"Gaurav Hinduja, Sashank Rishyasringa","Triodos Investment Management, SAIF Partners"
IntelleWings,IT startup,Seed,2021,100000.0,Panchkula,"IntelleWings develops Sanctions & Anti-money laundering solutions with a clear, concise, and fresh perspective.",2019,Pramod Sharma,
Shyplite,Logistics,Unknown,2021,1000000.0,New Delhi,Enable E-retailers to automate their logistics and increase efficiency in shipments by providing a single window shipping platform,2016,"Nisschal Jain,  Sugam Jain, Parinay Itkan",N+1 Capital
Refyne,FinTech,Series A,2021,20000000.0,Bangalore,Refyne partners with organisations to extend on-demand Earned Wage Access (EWA) to employees.,2020,"Chitresh Sharma, Apoorv Kumar","DST Global, RTP Global"
Greenjoules,Renewable Energy,Series A,2021,4500000.0,Pune,Greenjoules is a green energy technology startup that specializes in making renewable biofuels.,2018,"R. Sethunath, V S Shridhar, V. Radhika, Viraraghavan Sankaran",Blue Ashva Capital
MentorKart,Consulting,Seed,2021,150000.0,New Delhi,MentorKart™ helps to fulfil dreams and take that big step towards success.,2018,"Ashish Khare, SK Mohanty","Amit Singal, Manish Aggarwal"
Leverage Edu,EdTech,Debt,2021,2000000.0,New Delhi,AI-enabled marketplace designed to help students with their higher education and career growth plans,2017,Akshay Chaturvedi,"Trifecta Capital Advisors, Blume Ventures"
Kale Logistics,Logistics,Series A,2021,5000000.0,Thane,Kale Logistics Solutions is a global IT solutions provider focused on providing cutting-edge technology solutions to the Logistics industry.,2010,"Amar More, Vipul Jain",Inflexor Ventures
CustomerGlu,CRM,Unknown,2021,320000.0,Bangalore,CustomerGlu is a Low code Interactive Engagement platform to improve user stickiness.,2016,"Prateek Gupta, Raman Shrivastava, Sumant US","Kumar Aakash, Amit Singhal"
Cell Propulsion,EV startup,Unknown,2021,2000000.0,Bangalore,Cell Propulsion is a fleet electrification company developing solutions for large scale electrification of commercial vehicle fleets.,2016,"Nakul Kukar, Paras Kaushal",growX ventures
